title,card_img,price,categories,age,company,company_link,address
"Баріста, базовий",,4 400 грн,"Професійні, підвищення кваліфікації - Готельно-ресторанний бізнес, туризм, HoReCa.","Студенти, дорослі.",Promix bartender center,/courses/company/6478/,"вул. Промислова, 52, м. Львів"
Дизайн інтер'єра і екстер'єра,,,"Середня школа, студенти, дорослі.",,N/A,,
Малюнок та живопис,,"100 грн за заняття (вказана мінімальна ціна, детальніше узгоджувати по телефону)","Інформаційні технології, IT - Графічний дизайн; Мистецтво, творчість - Художня школа, образотворче мистецтво.","Молодша школа, середня школа, студенти, дорослі, пенсіонери.","Твор тайм, творча студія",/courses/company/32011/,Онлайн
Вокал,,400 грн за заняття,"Мистецтво, творчість - Музика, вокал.","Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Муза, школа вокалу",/courses/company/4717/,"вул. Л. Первомайського, 3; вул. Вільямса, 3/7; вул. Є. Чавдар, 13; просп. П. Григоренко, 22/20; вул. Оболонська Набережна, 19"
"Англійська мова, розмовна",,400 грн,Мовні - Англійська мова.,"Середня школа, студенти, дорослі.","Uspeak, школа англійскої мови",/courses/company/6439/,"вул. Архітектора Артинова, 46, поверх 3, оф. 16, м. Вінниця"
"Кошторисник, кошторисна справа в будівництві. Розрахунок кошторисів на будівельно-монтажні роботи",,4 000 грн за курс,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік, Нерухомість, будівництво.","Студенти, дорослі.",Computer Logic Group,/courses/company/2211/,Онлайн
Англійська мова,,400 грн за заняття (60 хв.),Мовні - Англійська мова.,Середня школа.,"МайстерКлас, освітній центр",/courses/company/1421/,Онлайн
N/A,/upload/logos/courses_companies/00006310_1.png,,,,,,
Водіння,,2 000 грн,Водіння - Автошкола (одержання прав).,"Студенти, дорослі, пенсіонери.","Аутсаид, автошкола",/courses/company/6450/,"вул. Московська, 7, м. Дніпро"
Польська мова,,170 грн за заняття (90 хвилин),Мовні - Польська мова.,"Середня школа, студенти, дорослі.","Globus, платформа знань",/courses/company/33226/,"вул. Мусоргського, 16, оф. 216; вул. Волгоградська, 1-д, оф. 405, м. Кривий Ріг"
"Готовність до школи, 5-6 років",,130 грн,"Розвиток дітей - Дошкільна освіта, Підготовка до школи, Ранній розвиток, розвиток дітей.",Дошкільники.,"ЕйдоС, центр інтелектуальної творчості",/courses/company/31990/,"вул. Михайла Гончаренка, 29, м. Запоріжжя"
Business English Course,,3 200 грн,Мовні - Англійська мова.,"Студенти, дорослі.","Yappi Business English School, школа бізнес-англійської",/courses/company/5659/,"Київ, вул. Хрещатик, 15"
Слухай своє тіло,,9 000 грн,"Професійні, підвищення кваліфікації - Психологія, саморозвиток.","Студенти, дорослі, пенсіонери.","Слухай своє тіло, школа",/courses/company/32510/,Онлайн
Німецька мова,,200 грн за заняття (Вартість за 45 хвилин становить 200 грн (заняття в групах)),Мовні - Німецька мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі.","Lara's method, школа іноземних мов",/courses/company/29278/,"вул. Гоголя, 15-а, оф. 8, м. Дніпро"
Робототехніка для дітей від 8 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/32832/,"вул. Київська 140-б, м. Прилуки"
"Водіння, отримання посвідчення водія",,3 500 грн,Водіння - Автошкола (одержання прав).,"Студенти, дорослі, пенсіонери.","Драйв, автошкола",/courses/company/6215/,"м-н Перемоги, 10, м. Житомир"
Музичні заняття,,"530 грн за заняття (за 60 хвилин. 45 хв. — 410 грн., 30 хв. — 360 грн.)","Мистецтво, творчість - Музика, вокал.","Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Music stories, музична студія",/courses/company/34048/,"вул. Ніжинська, 49, м. Одеса "
Логопед,,400 грн за заняття,"Розвиток дітей - Виховання дітей, школа батьків, Логопед, вихователь, няня, дитячий психолог, Підготовка до школи.","Дошкільники, молодша школа, середня школа.",Маленькі герої,/courses/company/29460/,"вул. Вишняківська, 9, просп. Григоренка, 1-б, вул. А. Ахматової, 13, м. Київ"
